knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,201,23,19,66,69,26,15,2.69,672.5,0.3571,0.1793,6.158,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,185,21,19,64,72,24,14,3.69,922.5,0.3846,0.2636,6.222,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,161,19,18,52,68,21,12,0.275,68.75,0.2727,0.0229,6.375,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,132,18,15,49,66,19,12,-3.451,-862.75,0.1818,-0.2876,6.375,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,199,28,15,59,84,34,16,6.327,1581.75,0.4286,0.3954,5.687,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,187,28,15,58,84,34,16,6.327,1581.75,0.4286,0.3954,5.72,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,157,27,14,50,90,29,16,10.814,2703.5,0.5833,0.6759,5.696,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,138,24,13,46,89,27,14,5.645,1411.25,0.5,0.4032,5.482,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,200,18,18,56,32,21,10,-3.174,-793.5,0.25,-0.3174,6.944,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,186,18,17,56,32,21,10,-2.835,-708.75,0.25,-0.2835,6.889,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,155,18,17,57,33,20,8,-3.586,-896.5,0.1667,-0.4482,6.824,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,132,17,15,55,29,19,7,-1.586,-396.5,0.25,-0.2266,6.5,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,218,22,22,57,58,27,13,-1.339,-334.75,0.3333,-0.103,6.5,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,201,22,22,54,58,27,14,-2.993,-748.25,0.25,-0.2138,6.476,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,170,22,21,54,50,27,14,-2.993,-748.25,0.25,-0.2138,6.333,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,146,18,16,47,48,22,13,-0.514,-128.5,0.375,-0.0395,6.25,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,206,22,23,50,102,25,13,2.127,531.75,0.2222,0.1636,5.575,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,190,20,20,48,98,23,12,3.127,781.75,0.25,0.2606,5.483,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,166,19,16,46,95,20,11,3.127,781.75,0.25,0.2843,5.759,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,142,19,16,46,95,20,11,3.127,781.75,0.25,0.2843,5.818,True
