knob,grid_value,baseline,grid_mode,pair,n_swings,n_obs,n_choch,n_bos,n_alerts_total,n_alerts_simulated,n_trades_filled,sum_r_realised,sum_pnl_usd,win_rate,expectancy_r,avg_logged_score,recon_ok
MIN_LEG_ATR_MULT,1.0,False,absolute,EURUSD,206,23,35,58,67,26,16,4.998,1249.5,0.5385,0.3124,6.565,True
MIN_LEG_ATR_MULT,1.5,True,absolute,EURUSD,190,22,35,53,66,25,15,6.147,1536.75,0.5833,0.4098,6.545,True
MIN_LEG_ATR_MULT,2.0,False,absolute,EURUSD,164,23,30,47,80,24,14,7.196,1799.0,0.6364,0.514,6.522,True
MIN_LEG_ATR_MULT,2.5,False,absolute,EURUSD,142,21,29,49,66,22,13,2.684,671.0,0.5,0.2065,6.476,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDJPY,213,25,21,47,77,28,14,1.494,373.5,0.4545,0.1067,5.188,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDJPY,202,25,21,46,77,28,14,1.494,373.5,0.4545,0.1067,5.188,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDJPY,169,23,18,42,92,26,12,0.615,153.75,0.4,0.0512,5.355,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDJPY,147,19,20,40,84,23,12,0.615,153.75,0.4,0.0512,5.737,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NZDUSD,202,20,23,45,79,25,12,-2.877,-719.25,0.25,-0.2397,6.55,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NZDUSD,186,20,21,44,79,25,12,-2.877,-719.25,0.25,-0.2397,6.55,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NZDUSD,160,24,27,45,62,28,14,0.1,25.0,0.4,0.0071,6.636,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NZDUSD,143,20,28,44,39,23,12,-3.023,-755.75,0.25,-0.2519,6.684,True
MIN_LEG_ATR_MULT,1.0,False,absolute,USDCHF,205,17,23,55,110,18,10,-1.235,-308.75,0.375,-0.1235,6.143,True
MIN_LEG_ATR_MULT,1.5,True,absolute,USDCHF,191,18,26,54,114,20,10,-1.235,-308.75,0.375,-0.1235,6.333,True
MIN_LEG_ATR_MULT,2.0,False,absolute,USDCHF,160,17,24,52,111,17,9,-0.235,-58.75,0.4286,-0.0261,6.357,True
MIN_LEG_ATR_MULT,2.5,False,absolute,USDCHF,141,18,20,48,154,21,8,0.587,146.75,0.4286,0.0734,6.941,True
MIN_LEG_ATR_MULT,1.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.5,True,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.0,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,2.5,False,absolute,NAS100,0,0,0,0,0,0,0,0,0,,0.0,0.0,True
MIN_LEG_ATR_MULT,1.0,False,absolute,GOLD,202,23,24,56,115,28,13,-4.788,-1197.0,0.25,-0.3683,5.192,True
MIN_LEG_ATR_MULT,1.5,True,absolute,GOLD,191,22,24,56,116,28,13,-5.788,-1447.0,0.2308,-0.4452,5.358,True
MIN_LEG_ATR_MULT,2.0,False,absolute,GOLD,161,21,22,51,118,26,11,-6.334,-1583.5,0.1818,-0.5758,5.182,True
MIN_LEG_ATR_MULT,2.5,False,absolute,GOLD,134,19,26,45,111,22,10,-5.334,-1333.5,0.2,-0.5334,5.45,True
